Time (ms),Temperature (°C),Pressure (hPa),Height (m)
507,19.3381,934.8878,0.2035
1007,19.2874,934.9240,-0.1215
1507,19.2824,934.9170,-0.0581
2007,19.2723,934.9027,0.0687
2507,19.2723,934.8489,0.5549
3007,19.2773,934.9098,0.0053
3507,19.2773,934.9098,0.0053
4007,19.2723,934.8489,0.5549
4507,19.2773,934.8830,0.2457
5007,19.2824,934.8901,0.1823
5507,19.2773,934.9098,0.0053
6007,19.2571,934.8548,0.5020
6507,19.2723,934.8489,0.5549
7007,19.2672,934.8956,0.1321
7507,19.2672,934.9226,-0.1110
8007,19.2773,934.8830,0.2457
8507,19.2723,934.9027,0.0687
9007,19.2824,934.8901,0.1823
9507,19.3026,934.9454,-0.3171
10007,19.2976,934.8846,0.2325
10507,19.2925,934.8236,0.7821
11007,19.2925,934.8506,0.5390
11507,19.3026,934.8917,0.1691
12007,19.3077,934.9256,-0.1374
12507,19.3178,934.8862,0.2193
13007,19.3077,934.8988,0.1057
13507,19.3178,934.9668,-0.5073
14007,19.3077,934.8719,0.3461
14507,19.3026,934.8380,0.6526
15007,19.3077,934.8450,0.5892
15507,19.3026,934.7841,1.1388
16007,19.3026,934.7841,1.1388
16507,19.3128,934.7984,1.0120
17007,19.3077,934.7912,1.0754
17507,19.3229,934.8125,0.8825
18007,19.3229,934.7588,1.3661
18507,19.3279,934.7122,1.7888
19007,19.3279,934.8197,0.8191
19507,19.3381,934.7802,1.1758
20007,19.3279,934.8466,0.5760
20507,19.3330,934.8806,0.2669
21007,19.3330,934.7732,1.2392
21507,19.3431,934.8141,0.8693
22007,19.3431,934.7874,1.1098
22507,19.3482,934.8214,0.8033
23007,19.3532,934.8820,0.2563
23507,19.3684,934.8226,0.7927
24007,19.3937,934.8584,0.4703
24507,19.3836,934.8441,0.5972
25007,19.3684,934.9034,0.0634
25507,19.4089,934.9065,0.0343
26007,19.3887,934.8780,0.2907
26507,19.3937,934.8584,0.4703
27007,19.3988,934.8923,0.1638
27507,19.4140,934.9405,-0.2748
28007,19.4039,934.8455,0.5839
28507,19.4140,934.8868,0.2114
29007,19.4190,934.9208,-0.0951
29507,19.4140,934.8868,0.2114
30007,19.4089,934.8258,0.7610
30507,19.3937,934.8584,0.4703
31007,19.3988,934.8116,0.8904
31507,19.4292,934.8812,0.2616
32007,19.4140,934.7792,1.1837
32507,19.4140,934.7792,1.1837
33007,19.4190,934.8670,0.3911
33507,19.4342,934.9152,-0.0423
34007,19.4342,934.8346,0.6843
34507,19.4494,934.8828,0.2484
35007,19.4444,934.8487,0.5549
35507,19.4545,934.8629,0.4280
36007,19.4646,934.8502,0.5443
36507,19.4697,934.8306,0.7213
37007,19.4697,934.8574,0.4783
37507,19.4798,934.8179,0.8350
38007,19.4798,934.8716,0.3488
38507,19.5051,934.9072,0.0291
39007,19.4950,934.8930,0.1559
39507,19.4950,935.0005,-0.8138
40007,19.5253,934.9356,-0.2272
40507,19.5152,934.9482,-0.3435
41007,19.5152,934.9482,-0.3435
41507,19.5253,934.9086,0.0159
42007,19.5304,934.8889,0.1929
42507,19.5304,934.9426,-0.2907
43007,19.5355,934.8959,0.1295
43507,19.5304,934.9426,-0.2907
44007,19.5304,934.9158,-0.0476
44507,19.5253,934.9356,-0.2272
45007,19.5355,934.9228,-0.1110
45507,19.5355,934.8959,0.1295
46007,19.5355,934.8691,0.3726
46507,19.5203,934.8747,0.3224
47007,19.5355,934.8959,0.1295
47507,19.5355,934.9228,-0.1110
48007,19.5355,934.9498,-0.3541
48507,19.5304,934.9426,-0.2907
49007,19.5203,934.9016,0.0793
49507,19.5253,934.9356,-0.2272
50007,19.5203,934.9554,-0.4069
50507,19.5304,934.9426,-0.2907
51007,19.5355,934.9498,-0.3541
51507,19.5304,934.9964,-0.7768
52007,19.5355,934.9766,-0.5972
52507,19.5355,934.8959,0.1295
53007,19.5355,934.9498,-0.3541
53507,19.5355,934.9228,-0.1110
54007,19.5355,934.8691,0.3726
54507,19.5405,934.9298,-0.1744
55007,19.5405,934.9030,0.0661
55507,19.5304,934.9158,-0.0476
56007,19.5355,934.9498,-0.3541
56507,19.5304,934.8889,0.1929
57007,19.5355,934.9766,-0.5972
57507,19.5355,934.9766,-0.5972
58007,19.5355,934.9498,-0.3541
58507,19.5355,934.8959,0.1295
59007,19.5304,934.9158,-0.0476
59507,19.5355,934.9766,-0.5972
60007,19.5405,934.9030,0.0661
60507,19.5355,934.8959,0.1295
61007,19.5456,934.9640,-0.4862
61507,19.5405,934.9298,-0.1744
62007,19.5405,934.9030,0.0661
62507,19.5405,934.9298,-0.1744
63007,19.5304,934.9426,-0.2907
63507,19.5405,934.8760,0.3091
64007,19.5355,934.9228,-0.1110
64507,19.5355,934.9766,-0.5972
65007,19.5355,934.8959,0.1295
65507,19.5355,934.9228,-0.1110
66007,19.5355,934.9498,-0.3541
66507,19.5405,934.9030,0.0661
67007,19.5405,934.8760,0.3091
67507,19.5507,934.9442,-0.3065
68007,19.5507,934.8903,0.1797
68507,19.5456,934.9372,-0.2431
69007,19.5456,934.8564,0.4862
69507,19.5608,934.9854,-0.6764
70007,19.5608,934.9316,-0.1902
70507,19.5507,934.9442,-0.3065
71007,19.5507,934.9442,-0.3065
71507,19.5456,934.8564,0.4862
72007,19.5557,934.9244,-0.1268
